sn,Position,Player,Rating
210,11,Chris Jordan,642
211,12,David Willey,640
212,13,Mitchell Santner,638
213,14,Liam Plunkett,629
214,15,Mohammad Nabi,628
215,16,Jasprit Bumrah,610
216,17,Mohammad Naveed,602
217,18,Chris Morris,601
218,19,Billy Stanlake,600
219,20,Yuzvendra Chahal,594
220,21,Akila Dananjaya,593
221,22,Andrew Tye,591
222,23,Imran Tahir,590
223,24,Bhuvneshwar Kumar,584
224,25,Mark Watt,583
225,26,Carlos Brathwaite,580
226,27,Mustafizur Rahman,579
227,28,Alasdair Evans,568
228,29,Tim Southee,551
229,30,Bilal Khan,550
230,31,Samuel Badree,546
231,32,Mohammad Amir,544
232,33,George Dockrell,543
233,34,Hasan Ali,536
234,35,Tabraiz Shamsi,534
235,36,Paul van Meekeren,531
236,37,Keemo Paul,524
237,38,Graeme Cremer,522
238,39,Trent Boult,520
239,40,Mujeeb Ur Rahman,518
240,41,Timm van der Gugten,515
241,42,Lasith Malinga,505
242,43,Tendai Chisoro,503
243,44,Krunal Pandya,500
244,45,Safyaan Sharif,500
245,46,Ahmed Raza,499
246,47,Nathan Coulter-Nile,485
247,48,Glenn Maxwell,479
248,49,Roelof van der Merwe,464
249,50,Adam Milne,462
250,51,Isuru Udana,459
251,52,Shaheen Afridi,458
252,53,Mahmudullah,458
253,54,Hardik Pandya,455
254,55,Rubel Hossain,455
255,56,Rohan Mustafa,452
256,57,Pieter Seelaar,452
257,58,Kesrick Williams,451
258,59,Sean Williams,446
259,60,Boyd Rankin,441
260,61,Usman Shinwari,439
261,62,Mohammad Nawaz,434
262,63,Richie Berrington,425
263,64,Kevin O Brien,425
264,65,Kagiso Rabada,424
265,66,Michael Leask,413
266,67,Ashton Agar,410
267,68,Sompal Kami,409
268,69,Basant Regmi,409
269,70,Fabian Allen,408
270,71,Karim Janat,406
271,72,Dushmantha Chameera,406
272,73,Chris Mpofu,406
273,74,Pat Cummins,404
274,75,Thisara Perera,404
275,76,Samiullah Shenwari,400
276,77,Mohammad Hafeez,400
277,78,Aaron Phangiso,393
278,79,Sheldon Cottrell,393
279,80,Washington Sundar,390
280,81,Mitchell Starc,390
281,82,Michael Rippon,389
282,83,Moeen Ali,388
283,84,Ajay Lalcheta,383
284,85,Paul Stirling,383
285,86,Mitchell McClenaghan,382
286,87,Nazmul Islam,375
287,88,Donald Tiripano,372
288,89,Marcus Stoinis,362
289,90,Beuran Hendricks,358
290,91,Jean-Paul Duminy,354
291,92,Jhye Richardson,350
292,93,Ben Stokes,350
293,94,Colin de Grandhomme,347
294,95,Dane Paterson,346
295,96,Stuart Thompson,344
296,97,Angelo Mathews,344
297,98,Lakshan Rangika,341
298,99,Dale Steyn,340
299,100,Peter Chase,339
