sn,Position,Player,Rating
214,15,Reeza Hendricks,647
215,16,Shaiman Anwar,644
216,17,Shikhar Dhawan,644
217,18,Virat Kohli,627
218,19,Mohammad Shahzad,609
219,20,Hamilton Masakadza,599
220,21,Joe Root,592
221,22,Faf du Plessis,588
222,23,David Miller,579
223,24,Jos Buttler,574
224,25,Eoin Morgan,572
225,26,Paul Stirling,567
226,27,Kusal Perera,552
227,28,Shoaib Malik,547
228,29,Kyle Coetzer,542
229,30,Mohammad Nabi,527
230,31,Mahmudullah,526
231,32,Jean-Paul Duminy,525
232,33,Hashim Amla,524
233,34,Malcolm Waller,521
234,35,Richie Berrington,521
235,36,Thisara Perera,520
236,37,Sabbir Rahman,518
237,38,Solomon Mire,517
238,39,George Munsey,516
239,40,Shakib Al Hasan,515
240,41,Rassie van der Dussen,513
241,42,Tamim Iqbal,499
242,43,Dawid Malan,490
243,44,Soumya Sarkar,486
244,45,Najibullah Zadran,479
245,46,Sarfaraz Ahmed,475
246,47,Liton Das,473
247,48,Marlon Samuels,469
248,49,Stephan Myburgh,465
249,50,Quinton de Kock,463
250,51,Wesley Barresi,456
251,52,Ross Taylor,454
252,53,Mushfiqur Rahim,451
253,54,Asghar Afghan,448
254,55,Calum MacLeod,446
255,56,Jonny Bairstow,445
256,57,Sean Williams,443
257,58,MS Dhoni,441
258,59,Hussain Talat,439
259,60,Samiullah Shenwari,432
260,61,David Warner,426
261,62,Mohammad Hafeez,426
262,63,Kevin O Brien,425
263,64,Elton Chigumbura,424
264,65,Manish Pandey,419
265,66,Gary Wilson,419
266,67,Ben Cooper ,407
267,68,Chris Gayle,406
268,69,Tobias Visee,405
269,70,Suresh Raina,402
270,71,Matthew Cross,396
271,72,Ahmed Shehzad,388
272,73,Kusal Mendis,385
273,74,William Porterfield,377
274,75,Andre Fletcher,365
275,76,Corey Anderson,354
276,77,Nicholas Pooran,353
277,78,Mohammad Usman,349
278,79,Niroshan Dickwella,349
279,80,Mark Chapman,347
280,81,Usman Ghani,345
281,82,Farhaan Behardien,344
282,83,Asif Ali,342
283,84,Brendan Taylor,342
284,85,Sam Billings,339
285,86,Rohan Mustafa,329
286,87,Tim Seifert,326
287,88,Travis Head,326
288,89,Chamu Chibhabha,326
289,90,Danushka Gunathilaka,318
290,92,Dinesh Chandimal,313
291,93,Chris Lynn,312
292,94,Peter Moores,311
293,95,Paras Khadka,305
294,96,Andrew Balbirnie,301
295,97,Angelo Mathews,294
296,98,Dinesh Karthik,293
297,99,Heinrich Klaasen,285
298,100,Shai Hope,284
